Model,MAE,RMSE,WAPE,MAPE,R2,Time (s)
XGBoost (Base),0.26667800087309007,0.38053248730331896,0.11836044408941385,13.419300013737608,0.8584967255592346,0.53
CatBoost (Base),0.2734467620710731,0.3891886032184616,0.12136464211791494,13.727003959294958,0.8519858687685125,5.63
RandomForest (Base),0.23439002115229732,0.3715471131327787,0.10402997942892205,11.058289926568508,0.8651003774167068,75.96
CatBoost (Tuned),0.20881168931484918,0.30814646668082283,0.09277692630503617,10.328576882055883,0.9073867239346119,11.5
RandomForest (Tuned),0.23298975566080007,0.36972139643770857,0.10340849567479568,10.987480764111332,0.8664228658732831,6.49
Weighted Ensemble (GPU),0.3047772200199668,0.4306397761431106,0.1351476601212662,15.676183172852879,0.8188508805363074,9.56
Stacked Ensemble (GPU base + CPU meta),0.2070121632677755,0.30064413283269273,0.09167878810032807,10.238942719550899,0.9117622459626126,10.18
